Username,Date,Category,Workout,Sets,Reps,Weight(kg),Duration(mins),Calories,Heart_Rate(bpm),Difficulty(1-5),Time_at_Workout(mins),,
john_doe,05-07-25 14:52,Strength,Bench Press,3,15,20,0,50,120,3,45,,
jane_smith,06-07-25 09:30,Cardio,Running,N/A,N/A,N/A,30,250,145,4,30,,
john_doe,06-07-25 18:00,Strength,Squats,4,12,30,0,70,130,4,50,,
jane_smith,07-07-25 07:15,Cardio,Cycling,N/A,N/A,N/A,45,320,138,3,45,,
john_doe,07-07-25 17:30,Strength,Deadlift,5,8,50,0,90,125,4,60,,
alex_brown,08-07-25 06:45,Cardio,Swimming,N/A,N/A,N/A,40,300,139,4,40,,
maria_garcia,08-07-25 18:20,Strength,Overhead Press,3,10,25,0,55,118,3,40,,
li_wang,08-07-25 07:10,Cardio,Rowing,N/A,N/A,N/A,25,220,135,3,25,,
sophia_miller,08-07-25 17:55,Strength,Lunges,3,12,15,0,60,126,3,40,,
alex_brown,09-07-25 06:50,Cardio,Running,N/A,N/A,N/A,35,280,142,4,35,,
maria_garcia,09-07-25 16:10,Strength,Pull Ups,4,8,0,0,45,122,4,35,,
li_wang,09-07-25 18:15,Strength,Bench Press,4,10,22,0,65,124,4,45,,
sophia_miller,10-07-25 07:40,Cardio,Cycling,N/A,N/A,N/A,50,350,137,3,50,,
john_doe,10-07-25 17:20,Strength,Bicep Curl,3,15,12,0,40,115,2,30,,
jane_smith,11-07-25 06:30,Cardio,Swimming,N/A,N/A,N/A,45,320,140,4,45,,
alex_brown,11-07-25 16:50,Strength,Deadlift,4,6,48,0,85,128,5,50,,
maria_garcia,12-07-25 07:10,Cardio,Rowing,N/A,N/A,N/A,30,240,133,3,30,,
li_wang,12-07-25 14:15,Strength,Squats,4,12,35,0,75,129,4,50,,
sophia_miller,13-07-25 07:25,Cardio,Running,N/A,N/A,N/A,25,200,138,3,25,,
john_doe,13-07-25 17:00,Strength,Overhead Press,3,8,28,0,50,119,3,35,,
jane_smith,14-07-25 06:40,Cardio,Cycling,N/A,N/A,N/A,55,370,136,4,55,,
alex_brown,14-07-25 18:25,Strength,Pull Ups,5,6,0,0,40,120,4,35,,
maria_garcia,15-07-25 07:30,Cardio,Swimming,N/A,N/A,N/A,50,360,139,4,50,,
li_wang,15-07-25 17:45,Strength,Deadlift,4,8,52,0,90,127,5,55,,
sophia_miller,16-07-25 06:20,Cardio,Rowing,N/A,N/A,N/A,20,180,134,3,20,,
john_doe,16-07-25 18:15,Strength,Bench Press,3,12,24,0,60,121,4,40,,
jane_smith,17-07-25 07:50,Cardio,Running,N/A,N/A,N/A,30,250,141,4,30,,
alex_brown,17-07-25 16:55,Strength,Lunges,3,15,18,0,65,125,3,45,,
maria_garcia,18-07-25 06:45,Cardio,Cycling,N/A,N/A,N/A,40,300,138,3,40,,
li_wang,18-07-25 18:00,Strength,Squats,5,10,40,0,85,130,4,55,,
sophia_miller,19-07-25 07:35,Cardio,Swimming,N/A,N/A,N/A,45,330,137,4,45,,
john_doe,19-07-25 17:10,Strength,Deadlift,4,8,55,0,95,126,5,60,,
jane_smith,20-07-25 06:55,Cardio,Rowing,N/A,N/A,N/A,25,210,132,3,25,,
alex_brown,20-07-25 18:30,Strength,Bicep Curl,3,15,14,0,45,116,2,30,,
maria_garcia,21-07-25 06:50,Cardio,Running,N/A,N/A,N/A,35,280,140,4,35,,
li_wang,21-07-25 17:20,Strength,Bench Press,4,10,26,0,65,124,4,45,,
sophia_miller,22-07-25 06:40,Cardio,Cycling,N/A,N/A,N/A,50,350,139,3,50,,
john_doe,22-07-25 17:15,Strength,Overhead Press,3,10,27,0,55,119,3,40,,
jane_smith,23-07-25 07:30,Cardio,Swimming,N/A,N/A,N/A,40,310,137,4,40,,
alex_brown,23-07-25 18:00,Strength,Pull Ups,4,8,0,0,50,121,4,35,,
maria_garcia,24-07-25 07:15,Cardio,Rowing,N/A,N/A,N/A,30,240,133,3,30,,
li_wang,24-07-25 17:35,Strength,Deadlift,4,6,50,0,85,127,5,50,,
sophia_miller,25-07-25 06:55,Cardio,Running,N/A,N/A,N/A,30,250,140,4,30,,
john_doe,25-07-25 18:10,Strength,Lunges,3,12,16,0,60,124,3,40,,
jane_smith,26-07-25 07:20,Cardio,Cycling,N/A,N/A,N/A,55,370,136,4,55,,
alex_brown,26-07-25 17:25,Strength,Squats,4,12,38,0,80,128,4,50,,
maria_garcia,27-07-25 06:35,Cardio,Swimming,N/A,N/A,N/A,45,330,139,4,45,,
li_wang,27-07-25 18:05,Strength,Bicep Curl,3,15,13,0,45,117,2,30,,
sophia_miller,28-07-25 07:05,Cardio,Rowing,N/A,N/A,N/A,25,210,132,3,25,,
