RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,1
1.51761,13.89,3.60,1.36,72.73,0.48,7.83,0.00,0.00,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.00,0.00,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.00,0.00,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.00,0.00,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.00,0.26,2
1.51743,13.30,3.60,1.14,73.09,0.58,8.17,0.00,0.00,2
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.00,0.00,2
1.51918,14.04,3.58,1.37,72.08,0.56,8.30,0.00,0.00,2
1.51755,13.00,3.60,1.36,72.99,0.57,8.40,0.00,0.11,2
1.51571,12.72,3.46,1.56,73.20,0.67,8.09,0.00,0.24,3
1.51763,12.80,3.66,1.27,73.01,0.60,8.56,0.00,0.00,3
1.51589,12.88,3.43,1.40,73.28,0.69,8.05,0.00,0.24,3
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.00,0.17,3
1.51784,13.02,3.54,1.26,73.17,0.57,8.38,0.00,0.00,3
1.52172,13.72,3.68,1.81,72.06,0.64,8.54,0.00,0.00,5
1.52227,14.17,3.81,0.78,71.35,0.00,8.69,0.00,0.00,5
1.52099,13.69,3.59,1.12,72.55,0.09,8.74,0.00,0.00,5
1.52152,13.05,3.65,1.26,72.99,0.51,8.58,0.00,0.00,5
1.52152,13.05,3.65,1.26,72.99,0.51,8.58,0.00,0.00,5
